,0
0,Alabama
1,Kentucky
2,Michigan
3,Minnesota
4,Mississippi
5,Missouri
6,Montana
7,Nebraska
8,Nevada
9,New Hampshire
10,New Jersey
11,New Mexico
12,New York
13,North Carolina
14,North Dakota
15,Ohio
16,Oklahoma
17,Oregon
18,Pennsylvania
19,Rhode Island
20,South Carolina
21,South Dakota
22,Tennessee
23,Texas
24,Utah
25,Vermont
26,Virginia
27,Washington
28,West Virginia
29,Wisconsin
30,Wyoming
